Case ID;Activity;Creation Date;;Time Stamp
R5002660000041424157610;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R5002660000041424157610;Create TO Picking Rack;12/12/2013;13:00:00;12/12/2013 13:00
R5002660000041424157610;Good Issue;20/12/2013;16:00;20/12/2013 16:00
R5002660000041424157610;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415769;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415769;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415769;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415769;Create TO Picking Rack;12/12/2013;13:00:00;12/12/2013 13:00
R500266000004142415769;Good Issue;20/12/2013;16:00;20/12/2013 16:00
R500266000004142415769;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415768;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415768;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415768;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415768;Create TO Picking Rack;11/12/2013;13:00:00;11/12/2013 13:00
R500266000004142415768;Good Issue;19/12/2013;16:00;19/12/2013 16:00
R500266000004142415768;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415767;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415767;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415767;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415767;Create TO Picking Rack;09/12/2013;13:00:00;09/12/2013 13:00
R500266000004142415767;Good Issue;19/12/2013;16:00;19/12/2013 16:00
R500266000004142415767;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415766;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
R500266000004142415766;Create TO High Rack;01/11/2013;10:00:00;01/11/2013 10:00
R500266000004142415766;Create TO Antar High Rack;03/12/2013;11:00:00;03/12/2013 11:00
R500266000004142415766;Create TO Picking Rack;08/12/2013;13:00:00;08/12/2013 13:00
R500266000004142415766;Good Issue;19/12/2013;16:00;19/12/2013 16:00
R500266000004142415766;Good Receipt;29/10/2013;08:00:00;29/10/2013 08:00
R500266000004142415765;Quality Inspection;31/10/2013;09:00;31/10/2013 09:00
